记录ID,包名,架构,版本,网站地址,下载地址
1cea051c-40fc-499a-8def-47d05ec9125c,com.jetbrains.www.pycharm,x86_64,2026.1.2,https://data.services.jetbrains.com/products/releases?code=PC,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.jetbrains.www.pycharm_x86_64_2026.1.2.tar.gz
c7c2946f-b2b6-47fa-b3d8-a18e3d4dfe51,org.mozilla.firefox-nal,x86_64,151.0.2,https://www.firefox.com/zh-CN/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.mozilla.firefox-nal_x86_64_151.0.2.tar.xz
758c4824-577b-46c4-9684-89099014a48d,com.brave.brave-browser,x86_64,1.90.124,https://github.com/brave/brave-browser/releases/tag/v1.90.124,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.brave.brave-browser_x86_64_1.90.124.deb
8d596e60-299f-43be-85c0-036089886d9e,io.github.heroic,x86_64,2.22.0,https://github.com/Heroic-Games-Launcher/HeroicGamesLauncher/releases/tag/v2.22.0,https://rustfsadmin.cicd2.getdeepin.org/linyaps/io.github.heroic_x86_64_2.22.0.AppImage
ccee47dc-3e05-4d25-b72f-f20f94dfa9ac,cn.google.chrome,x86_64,148.0.7778.215-1,https://dl.google.com/linux/direct/google-chrome-stable_current_amd64.deb,https://rustfsadmin.cicd2.getdeepin.org/linyaps/cn.google.chrome_x86_64_148.0.7778.215-1.deb
be3b1639-8b03-4da7-884e-806085b57515,org.gimp,x86_64,3.2.4,https://www.gimp.org/downloads/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.gimp_x86_64_3.2.4.AppImage
5a1bc146-ea4b-48a6-81c6-e9dd50fd6c00,com.steampowered.steam-launcher,x86_64,1.0.0.85,https://repo.steampowered.com/steam/dists/precise/steam/binary-amd64/Packages.gz,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.steampowered.steam-launcher_x86_64_1.0.0.85.deb
da838aee-32c9-499c-b60a-574911de2b87,com.obs-studio,x86_64,32.1.2,https://github.com/obsproject/obs-studio/releases/tag/32.1.2,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.obs-studio_x86_64_32.1.2.deb
dd2ff581-791f-4a01-ac69-56d6b06a2088,org.videolan.www.vlc,x86_64,3.0.23,https://www.videolan.org/vlc/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.videolan.www.vlc_x86_64_3.0.23.tar.xz
6c04d087-9bd3-406f-95ab-b80d21ce3591,org.qbittorrent.qbittorrent,x86_64,5.2.1,https://github.com/qbittorrent/qBittorrent/releases/tag/release-5.2.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.qbittorrent.qbittorrent_x86_64_5.2.1.AppImage
9fd7513c-913a-4931-878c-f17ef791ce2d,com.visualstudio.code,x86_64,1.122.0,https://code.visualstudio.com/Download,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.visualstudio.code_amd64_1.122.0.deb
c11d09ec-d525-4f68-bd4b-8805d66ea764,org.remmina,x86_64,1.4.43,https://gitlab.com/Remmina/Remmina/-/releases/v1.4.43,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.remmina_x86_64_1.4.43.AppImage
3f33afc2-7142-4583-bf02-fb00f933a1e8,org.audacityteam.www,x86_64,3.7.7,https://github.com/audacity/audacity/releases/tag/Audacity-3.7.7,https://rustfsadmin.cicd2.getdeepin.org/linyaps/audacity-linux-3.7.7-x64-22.04.AppImage
